S No,Name,Check_ID,Message,Start Line,Start Col,Severity,Project,Path,Status,
14,path-join-resolve-traversal,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first.",,4555,54,medium,apps/services/policy-service,apps/services/policy-service/src/app/policy/policy.service.ts,new
15,path-join-resolve-traversal,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first.",,6020,52,medium,apps/services/policy-service,apps/services/policy-service/src/app/policy/policy.service.ts,new
16,path-join-resolve-traversal,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first.",,9134,9,medium,apps/services/policy-service,apps/services/policy-service/src/app/policy/policy.service.ts,new
17,detect-non-literal-regexp,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,"RegExp() called with a `index` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread. For this reason, it is recommended to use hardcoded regexes instead. If your regex is run on user-controlled input, consider performing input validation or use a regex checking/sanitization library such as https://www.npmjs.com/package/recheck to verify that the regex does not appear vulnerable to ReDoS.",,15357,31,medium,apps/services/opportunity-service,apps/services/opportunity-service/src/app/opportunity/opportunity.repository.ts,new
18,detect-non-literal-regexp,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,"RegExp() called with a `key` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread. For this reason, it is recommended to use hardcoded regexes instead. If your regex is run on user-controlled input, consider performing input validation or use a regex checking/sanitization library such as https://www.npmjs.com/package/recheck to verify that the regex does not appear vulnerable to ReDoS.",,71,37,medium,apps/ui/iwork,apps/ui/iwork/src/app/Utils/smartSearchPrefill.ts,new
19,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,68,21,low,apps/ui/iwork,apps/ui/iwork/src/app/common/Select/index.tsx,new
20,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,88,23,low,apps/ui/iwork,apps/ui/iwork/src/app/common/Select/index.tsx,new
21,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,91,21,low,apps/ui/iwork,apps/ui/iwork/src/app/common/Select/index.tsx,new
22,react-dangerouslysetinnerhtml,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,"Detection of dangerouslySetInnerHTML from non-constant definition. This can inadvertently expose users to cross-site scripting (XSS) attacks if this comes from user-provided input. If you have to use dangerouslySetInnerHTML, consider using a sanitization library such as DOMPurify to sanitize your HTML.",,78,23,medium,apps/ui/iwork,apps/ui/iwork/src/app/components/CompanyDetailsOverview/ComponentRender.tsx,new
23,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,160,27,low,apps/ui/iwork,apps/ui/iwork/src/app/components/InsuredDetailsTable/index.tsx,new
24,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,325,27,low,apps/ui/iwork,apps/ui/iwork/src/app/pages/BizDownReportPage/BizDownReportListing/index.tsx,new
25,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,1117,27,low,apps/ui/iwork,apps/ui/iwork/src/app/pages/CompanyPage/PortalConfiguration/index.tsx,new
26,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,183,9,low,apps/ui/iwork,apps/ui/iwork/src/app/pages/KnowledgeCentral/index.tsx,new
27,incomplete-sanitization,javascript.lang.security.audit.incomplete-sanitization.incomplete-sanitization,`outerRadius.replace` method will only replace the first occurrence when used with a string argument ("%"). If this method is used for escaping of dangerous data then there is a possibility for a bypass. Try to use sanitization library instead or use a Regex with a global flag.,,90,25,low,apps/ui/iwork,apps/ui/iwork/src/app/pages/Nl2sqlChatbotPage/PieChart/index.tsx,new
28,prototype-pollution-loop,javascript.lang.security.audit.prototype-pollution.prototype-pollution-loop.prototype-pollution-loop,"Possibility of prototype polluting function detected. By adding or modifying attributes of an object prototype, it is possible to create attributes that exist on every object, or replace critical attributes with malicious ones. This can be problematic if the software depends on existence or non-existence of certain attributes, or uses pre-defined attributes of object prototype (such as hasOwnProperty, toString or valueOf). Possible mitigations might be: freezing the object prototype, using an object without prototypes (via Object.create(null) ), blocking modifications of attributes that resolve to object prototype, using Map instead of object.",,221,7,low,apps/ui/iwork,apps/ui/iwork/src/app/pages/OpportunityActivities/Activities/EnterQuote/QuoteForm/utils/autoPopulateFields.ts,new
29,prototype-pollution-loop,javascript.lang.security.audit.prototype-pollution.prototype-pollution-loop.prototype-pollution-loop,"Possibility of prototype polluting function detected. By adding or modifying attributes of an object prototype, it is possible to create attributes that exist on every object, or replace critical attributes with malicious ones. This can be problematic if the software depends on existence or non-existence of certain attributes, or uses pre-defined attributes of object prototype (such as hasOwnProperty, toString or valueOf). Possible mitigations might be: freezing the object prototype, using an object without prototypes (via Object.create(null) ), blocking modifications of attributes that resolve to object prototype, using Map instead of object.",,252,5,low,apps/ui/iwork,apps/ui/iwork/src/app/pages/OpportunityActivities/Activities/EnterQuote/QuoteForm/utils/autoPopulateFields.ts,new
30,prototype-pollution-loop,javascript.lang.security.audit.prototype-pollution.prototype-pollution-loop.prototype-pollution-loop,"Possibility of prototype polluting function detected. By adding or modifying attributes of an object prototype, it is possible to create attributes that exist on every object, or replace critical attributes with malicious ones. This can be problematic if the software depends on existence or non-existence of certain attributes, or uses pre-defined attributes of object prototype (such as hasOwnProperty, toString or valueOf). Possible mitigations might be: freezing the object prototype, using an object without prototypes (via Object.create(null) ), blocking modifications of attributes that resolve to object prototype, using Map instead of object.",,272,7,low,apps/ui/iwork,apps/ui/iwork/src/app/pages/OpportunityActivities/Constants/autoPopulateFields.ts,new
31,prototype-pollution-loop,javascript.lang.security.audit.prototype-pollution.prototype-pollution-loop.prototype-pollution-loop,"Possibility of prototype polluting function detected. By adding or modifying attributes of an object prototype, it is possible to create attributes that exist on every object, or replace critical attributes with malicious ones. This can be problematic if the software depends on existence or non-existence of certain attributes, or uses pre-defined attributes of object prototype (such as hasOwnProperty, toString or valueOf). Possible mitigations might be: freezing the object prototype, using an object without prototypes (via Object.create(null) ), blocking modifications of attributes that resolve to object prototype, using Map instead of object.",,303,5,low,apps/ui/iwork,apps/ui/iwork/src/app/pages/OpportunityActivities/Constants/autoPopulateFields.ts,new
32,detect-non-literal-regexp,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,"RegExp() called with a `maxDecimals` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread. For this reason, it is recommended to use hardcoded regexes instead. If your regex is run on user-controlled input, consider performing input validation or use a regex checking/sanitization library such as https://www.npmjs.com/package/recheck to verify that the regex does not appear vulnerable to ReDoS.",,181,30,medium,apps/ui/iwork,apps/ui/iwork/src/app/pages/PolicyPage/PolicyConfigurator/PolicyChoicesSection.tsx,new
33,detect-non-literal-regexp,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,"RegExp() called with a `separator` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread. For this reason, it is recommended to use hardcoded regexes instead. If your regex is run on user-controlled input, consider performing input validation or use a regex checking/sanitization library such as https://www.npmjs.com/package/recheck to verify that the regex does not appear vulnerable to ReDoS.",,10,5,medium,apps/ui/iwork,apps/ui/iwork/src/app/pages/PolicyPage/utils/formatters.ts,new
34,detect-non-literal-regexp,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,"RegExp() called with a `separator` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread. For this reason, it is recommended to use hardcoded regexes instead. If your regex is run on user-controlled input, consider performing input validation or use a regex checking/sanitization library such as https://www.npmjs.com/package/recheck to verify that the regex does not appear vulnerable to ReDoS.",,36,5,medium,apps/ui/iwork,apps/ui/iwork/src/app/pages/PolicyPage/utils/formatters.ts,new
35,react-dangerouslysetinnerhtml,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,"Detection of dangerouslySetInnerHTML from non-constant definition. This can inadvertently expose users to cross-site scripting (XSS) attacks if this comes from user-provided input. If you have to use dangerouslySetInnerHTML, consider using a sanitization library such as DOMPurify to sanitize your HTML.",,85,50,medium,apps/ui/iwork,apps/ui/iwork/src/app/pages/TemplatePage/TemplatePreviewCommon/index.tsx,new
36,react-dangerouslysetinnerhtml,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,"Detection of dangerouslySetInnerHTML from non-constant definition. This can inadvertently expose users to cross-site scripting (XSS) attacks if this comes from user-provided input. If you have to use dangerouslySetInnerHTML, consider using a sanitization library such as DOMPurify to sanitize your HTML.",,97,50,medium,apps/ui/iwork,apps/ui/iwork/src/app/pages/TemplatePage/TemplatePreviewCommon/index.tsx,new
37,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,115,21,low,apps/ui/iwork,apps/ui/iwork/vite.config.ts,new
38,incomplete-sanitization,javascript.lang.security.audit.incomplete-sanitization.incomplete-sanitization,`part.replace` method will only replace the first occurrence when used with a string argument ("]"). If this method is used for escaping of dangerous data then there is a possibility for a bypass. Try to use sanitization library instead or use a Regex with a global flag.,,112,33,low,apps/ui/ui-lib,apps/ui/ui-lib/src/lib/commonComponents/CommonDetailsSection/index.tsx,new
39,prototype-pollution-loop,javascript.lang.security.audit.prototype-pollution.prototype-pollution-loop.prototype-pollution-loop,"Possibility of prototype polluting function detected. By adding or modifying attributes of an object prototype, it is possible to create attributes that exist on every object, or replace critical attributes with malicious ones. This can be problematic if the software depends on existence or non-existence of certain attributes, or uses pre-defined attributes of object prototype (such as hasOwnProperty, toString or valueOf). Possible mitigations might be: freezing the object prototype, using an object without prototypes (via Object.create(null) ), blocking modifications of attributes that resolve to object prototype, using Map instead of object.",,120,9,low,apps/ui/ui-lib,apps/ui/ui-lib/src/lib/commonComponents/CommonDetailsSection/index.tsx,new
40,incomplete-sanitization,javascript.lang.security.audit.incomplete-sanitization.incomplete-sanitization,`part.replace` method will only replace the first occurrence when used with a string argument ("]"). If this method is used for escaping of dangerous data then there is a possibility for a bypass. Try to use sanitization library instead or use a Regex with a global flag.,,65,33,low,apps/ui/ui-lib,apps/ui/ui-lib/src/lib/commonComponents/DetailsSection/index.tsx,new
41,prototype-pollution-loop,javascript.lang.security.audit.prototype-pollution.prototype-pollution-loop.prototype-pollution-loop,"Possibility of prototype polluting function detected. By adding or modifying attributes of an object prototype, it is possible to create attributes that exist on every object, or replace critical attributes with malicious ones. This can be problematic if the software depends on existence or non-existence of certain attributes, or uses pre-defined attributes of object prototype (such as hasOwnProperty, toString or valueOf). Possible mitigations might be: freezing the object prototype, using an object without prototypes (via Object.create(null) ), blocking modifications of attributes that resolve to object prototype, using Map instead of object.",,73,9,low,apps/ui/ui-lib,apps/ui/ui-lib/src/lib/commonComponents/DetailsSection/index.tsx,new
42,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,136,27,low,apps/ui/ui-lib,apps/ui/ui-lib/src/lib/commonComponents/DocumentPreview/index.tsx,new
43,prototype-pollution-loop,javascript.lang.security.audit.prototype-pollution.prototype-pollution-loop.prototype-pollution-loop,"Possibility of prototype polluting function detected. By adding or modifying attributes of an object prototype, it is possible to create attributes that exist on every object, or replace critical attributes with malicious ones. This can be problematic if the software depends on existence or non-existence of certain attributes, or uses pre-defined attributes of object prototype (such as hasOwnProperty, toString or valueOf). Possible mitigations might be: freezing the object prototype, using an object without prototypes (via Object.create(null) ), blocking modifications of attributes that resolve to object prototype, using Map instead of object.",,199,7,low,apps/ui/ui-lib,apps/ui/ui-lib/src/lib/commonComponents/FormComponent/Fields/SelectFieldByApi.tsx,new
44,prototype-pollution-loop,javascript.lang.security.audit.prototype-pollution.prototype-pollution-loop.prototype-pollution-loop,"Possibility of prototype polluting function detected. By adding or modifying attributes of an object prototype, it is possible to create attributes that exist on every object, or replace critical attributes with malicious ones. This can be problematic if the software depends on existence or non-existence of certain attributes, or uses pre-defined attributes of object prototype (such as hasOwnProperty, toString or valueOf). Possible mitigations might be: freezing the object prototype, using an object without prototypes (via Object.create(null) ), blocking modifications of attributes that resolve to object prototype, using Map instead of object.",,294,9,low,apps/ui/ui-lib,apps/ui/ui-lib/src/lib/commonComponents/FormComponent/Fields/SelectFieldByApi.tsx,new
45,detect-non-literal-regexp,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,"RegExp() called with a `field` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread. For this reason, it is recommended to use hardcoded regexes instead. If your regex is run on user-controlled input, consider performing input validation or use a regex checking/sanitization library such as https://www.npmjs.com/package/recheck to verify that the regex does not appear vulnerable to ReDoS.",,38,26,medium,apps/ui/ui-lib,apps/ui/ui-lib/src/lib/utils/fieldLocalizationUtil.ts,new
46,detect-non-literal-regexp,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,"RegExp() called with a `localizationData` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread. For this reason, it is recommended to use hardcoded regexes instead. If your regex is run on user-controlled input, consider performing input validation or use a regex checking/sanitization library such as https://www.npmjs.com/package/recheck to verify that the regex does not appear vulnerable to ReDoS.",,38,26,medium,apps/ui/ui-lib,apps/ui/ui-lib/src/lib/utils/fieldLocalizationUtil.ts,new
47,detect-non-literal-regexp,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,"RegExp() called with a `pattern` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread. For this reason, it is recommended to use hardcoded regexes instead. If your regex is run on user-controlled input, consider performing input validation or use a regex checking/sanitization library such as https://www.npmjs.com/package/recheck to verify that the regex does not appear vulnerable to ReDoS.",,208,14,medium,apps/ui/ui-lib,apps/ui/ui-lib/src/lib/utils/index.tsx,new
48,detect-non-literal-regexp,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,"RegExp() called with a `pattern` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread. For this reason, it is recommended to use hardcoded regexes instead. If your regex is run on user-controlled input, consider performing input validation or use a regex checking/sanitization library such as https://www.npmjs.com/package/recheck to verify that the regex does not appear vulnerable to ReDoS.",,210,12,medium,apps/ui/ui-lib,apps/ui/ui-lib/src/lib/utils/index.tsx,new
49,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,467,7,low,apps/ui/ui-lib,apps/ui/ui-lib/src/lib/utils/procesaApiFormConfig.ts,new
50,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,498,7,low,apps/ui/ui-lib,apps/ui/ui-lib/src/lib/utils/procesaApiFormConfig.ts,new
51,bypass-tls-verification,problem-based-packs.insecure-transport.js-node.bypass-tls-verification.bypass-tls-verification,"Checks for setting the environment variable NODE_TLS_REJECT_UNAUTHORIZED to 0, which disables TLS verification. This should only be used for debugging purposes. Setting the option rejectUnauthorized to false bypasses verification against the list of trusted CAs, which also leads to insecure transport. These options lead to vulnerability to MTM attacks, and should not be used.",,15,42,medium,apps/services/document-service,apps/services/document-service/src/app/external-app/external-app.service.ts,new
52,var-in-script-tag,generic.html-templates.security.var-in-script-tag.var-in-script-tag,"Detected a template variable used in a script tag. Although template variables are HTML escaped, HTML escaping does not always prevent cross-site scripting (XSS) attacks when used directly in JavaScript. If you need this data on the rendered page, consider placing it in the HTML portion (outside of a script tag). Alternatively, use a JavaScript-specific encoder, such as the one available in OWASP ESAPI. For Django, you may also consider using the 'json_script' template tag and retrieving the data in your script by using the element ID (e.g., `document.getElementById`).",,456,62,medium,apps/services/document-service,apps/services/document-service/src/app/policy-template/placement-slip.html,new
53,var-in-script-tag,generic.html-templates.security.var-in-script-tag.var-in-script-tag,"Detected a template variable used in a script tag. Although template variables are HTML escaped, HTML escaping does not always prevent cross-site scripting (XSS) attacks when used directly in JavaScript. If you need this data on the rendered page, consider placing it in the HTML portion (outside of a script tag). Alternatively, use a JavaScript-specific encoder, such as the one available in OWASP ESAPI. For Django, you may also consider using the 'json_script' template tag and retrieving the data in your script by using the element ID (e.g., `document.getElementById`).",,456,62,medium,apps/services/document-service,apps/services/document-service/src/app/policy-template/sriLanka-placement-slip.html,new
54,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,207,23,low,apps/services/scheduler-service,apps/services/scheduler-service/src/app/scheduler/end-user-onboarding.scheduler.ts,new
55,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,72,11,low,apps/services/scheduler-service,apps/services/scheduler-service/src/app/scheduler/tpa-claims-sync.scheduler.ts,new
56,detect-non-literal-regexp,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,"RegExp() called with a `rules` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread. For this reason, it is recommended to use hardcoded regexes instead. If your regex is run on user-controlled input, consider performing input validation or use a regex checking/sanitization library such as https://www.npmjs.com/package/recheck to verify that the regex does not appear vulnerable to ReDoS.",,25,17,medium,apps/ui/ibp,apps/ui/ibp/src/app/components/EnrollmentChangePassword/formConfig.ts,new
57,detect-non-literal-regexp,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,"RegExp() called with a `rule` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread. For this reason, it is recommended to use hardcoded regexes instead. If your regex is run on user-controlled input, consider performing input validation or use a regex checking/sanitization library such as https://www.npmjs.com/package/recheck to verify that the regex does not appear vulnerable to ReDoS.",,67,33,medium,apps/ui/ibp,apps/ui/ibp/src/app/components/EnrollmentChangePassword/index.tsx,new
58,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,344,21,low,apps/ui/ibp,apps/ui/ibp/src/app/components/MultiEnrollment/MultiEnrollmentSummary/index.tsx,new
59,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,146,21,low,apps/ui/ibp,apps/ui/ibp/src/app/pages/ECardPage/index.tsx,new
60,incomplete-sanitization,javascript.lang.security.audit.incomplete-sanitization.incomplete-sanitization,`d.label?..replace` method will only replace the first occurrence when used with a string argument ("\n"). If this method is used for escaping of dangerous data then there is a possibility for a bypass. Try to use sanitization library instead or use a Regex with a global flag.,,484,103,low,apps/ui/ibp,apps/ui/ibp/src/app/pages/HRPortalPolicyDetailV2/index.tsx,new
61,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,1152,13,low,apps/ui/ibp,apps/ui/ibp/src/app/pages/MultiEnrollment/index.tsx,new
62,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,1161,13,low,apps/ui/ibp,apps/ui/ibp/src/app/pages/MultiEnrollment/index.tsx,new
63,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,390,21,low,apps/ui/ibp,apps/ui/ibp/src/app/pages/MyDocuments/PolicyFeatureDocTab.tsx,new
64,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,31,21,low,apps/ui/ibp,apps/ui/ibp/src/app/utils/apiInterceptor.ts,new
65,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,115,21,low,apps/ui/ibp,apps/ui/ibp/vite.config.ts,new
66,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,4337,17,low,apps/services/ibp-service,apps/services/ibp-service/src/app/company-employee/company-employee.service.ts,new
67,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,150,22,low,apps/services/ibp-service,apps/services/ibp-service/src/app/hr-module/hr.service.ts,new
